Survey Id,Parent Id,Survey Name,Type,Activity,Company,Survey Company,Vessel,Client,Country,Complete,Mobilisation Location,Mobilisation Start,Deployment Start,Production Start,Production End,Retrieval End,Demobilisation End,Demobilisation Location,Number of Streamers,Streamer Separation,Streamer Length,Sail Line Separation,Report,Combo Report,Tides,Ocean Current,FFSQKM,FFSQKM Method,Shot Patch SQKM,Shotpatch Method,FF Minimum Water Depth (m),FF Maximum Water Depth (m),CentreLAT,CentreLONG,Replay
19BN_01657,19BN_01656,Intan OBN,OBN,Node Layout,BGP,BGP,FOS Orion,Brunei Shell Petroleum (BSP),Brunei Darussalam,Yes,FOS Pandan -  SINGAPORE,8/21/2019 0:00,8/31/2019 3:00,8/31/2019 3:15,2/19/2020 0:00,2/19/2020 3:00,2/23/2020 12:00,Off Muara Harbor -  BRUNEI,,,,,https://portal.seisintel.com/resources/reports/19BN_01657_v0.1A_comp20200223_1200.pdf,https://portal.seisintel.com/resources/reports/19BN_01656_v0.1C_comp20200223_1200.pdf,https://portal.seisintel.com/resources/tides/19BN_01657_TIDEOUTPUT_5.1459_114.6770_20190824-20200304_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19BN_01657_Z500_D0_20200219_1200.mp4,579,Inferred from AIS,872,Inferred from AIS,,,5.1415,114.69,"https://portal.seisintel.com/#/path/19BN_01656,19BN_01657,19BN_01658,19BN_01659"
19BN_01658,19BN_01656,Intan OBN,OBN,Source,BGP,BGP,Crest Argus 2,Brunei Shell Petroleum (BSP),Brunei Darussalam,Yes,Tuas -  SINGAPORE,8/21/2019 0:00,8/28/2019 5:30,8/28/2019 12:00,2/18/2020 10:50,2/18/2020 16:00,2/22/2020 0:00,Muara Harbor -  BRUNEI,,,,,https://portal.seisintel.com/resources/reports/19BN_01658_v0.1A_comp20200223_0000.pdf,https://portal.seisintel.com/resources/reports/19BN_01656_v0.1C_comp20200223_1200.pdf,https://portal.seisintel.com/resources/tides/19BN_01658_TIDEOUTPUT_5.1438_114.6735_20190821-20200303_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19BN_01658_Z500_D0_20200214_1200.mp4,579,Inferred from AIS,872,Inferred from AIS,,,5.1455,114.6835,"https://portal.seisintel.com/#/path/19BN_01656,19BN_01657,19BN_01658,19BN_01659"
19BN_01656,19BN_01656,Intan OBN,OBN,Node Layout,BGP,BGP,Dong Fang Kan Tan No. 2,Brunei Shell Petroleum (BSP),Brunei Darussalam,Yes,PaxOcean -  SINGAPORE,8/21/2019 0:00,8/29/2019 22:45,8/29/2019 23:00,2/22/2020 9:00,2/22/2020 10:00,2/23/2020 0:00,Off Muara Harbor -  BRUNEI,,,,175,https://portal.seisintel.com/resources/reports/19BN_01656_v0.1A_comp20200223_0000.pdf,https://portal.seisintel.com/resources/reports/19BN_01656_v0.1C_comp20200223_1200.pdf,https://portal.seisintel.com/resources/tides/19BN_01656_TIDEOUTPUT_5.1462_114.6774_20190822-20200307_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19BN_01656_Z500_D0_20200214_1200.mp4,579,Inferred from AIS,872,Inferred from AIS,4,52,5.143,114.69,"https://portal.seisintel.com/#/path/19BN_01656,19BN_01657,19BN_01658,19BN_01659"
21BR_02289,21BR_02288,Iracema OBN,OBN,Source,Shearwater,Shearwater,SW Diamond,Petrobras,Brazil,Yes,Rio de Janeiro -  BRAZIL,11/23/2021 0:00,12/5/2021 18:30,12/9/2021 4:30,4/19/2022 8:30,4/19/2022 16:00,4/23/2022 0:00,Rio de Janeiro -  BRAZIL,,,,150,https://portal.seisintel.com/resources/reports/21BR_02289_v0.1A_comp20220423_0000.pdf,https://portal.seisintel.com/resources/reports/21BR_02288_v0.1C_comp20220504_1200.pdf,https://portal.seisintel.com/resources/tides/21BR_02289_TIDEOUTPUT_-25.1922_-42.9274_20211128-20220503_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_21BR_02289_Z500_D10_20220416_1200.mp4,536,Inferred from AIS,1034,Inferred from AIS,,,-25.207,-42.931,"https://portal.seisintel.com/#/path/21BR_02289,21BR_02288"
21BR_02288,21BR_02288,Iracema OBN,OBN,Node Layout,Shearwater,Shearwater,Skandi Neptune,Petrobras,Brazil,Yes,Nitteroi -  BRAZIL,11/25/2021 0:00,12/7/2021 8:00,12/7/2021 12:00,4/30/2022 23:00,4/30/2022 23:30,5/4/2022 12:00,Rio de Janeiro -  BRAZIL,,,,1000,https://portal.seisintel.com/resources/reports/21BR_02288_v0.1A_comp20220504_1200.pdf,https://portal.seisintel.com/resources/reports/21BR_02288_v0.1C_comp20220504_1200.pdf,https://portal.seisintel.com/resources/tides/21BR_02288_TIDEOUTPUT_-25.1935_-42.9406_20211130-20220516_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_21BR_02288_Z500_D10_20220424_1200.mp4,536,Inferred from AIS,1034,Inferred from AIS,2050,2150,-25.212,-42.941,"https://portal.seisintel.com/#/path/21BR_02289,21BR_02288"
23GB_02754,23GB_02753,Isolde OBN,OBN,Source,Magseis Fairfield,Magseis Fairfield,Oceanic Champion,NEO Energy / Equinor,United Kingdom,Yes,Stavanger -  NORWAY,9/8/2023 0:00,9/14/2023 5:30,9/21/2023 10:00,10/5/2023 15:15,10/5/2023 21:00,10/7/2023 0:00,Kristiansund -  NORWAY,,,,150,https://portal.seisintel.com/resources/reports/23GB_02754_v0.1A_comp20231007_0000.pdf,https://portal.seisintel.com/resources/reports/23GB_02753_v0.1C_comp20231014_0000.pdf,https://portal.seisintel.com/resources/tides/23GB_02754_TIDEOUTPUT_57.0035_2.1672_20230907-20231021_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23GB_02754_Z500_D10_20231005_1200.mp4,114,Inferred from AIS,253,Inferred from AIS,,,57.0055,2.1665,"https://portal.seisintel.com/#/path/23GB_02753,23GB_02754"
23GB_02753,23GB_02753,Isolde OBN,OBN,Node Layout,Magseis Fairfield,Magseis Fairfield,Normand Tonjer,NEO Energy / Equinor,United Kingdom,Yes,Aberdeen -  UNITED KINGDOM,9/11/2023 0:00,9/14/2023 13:00,9/15/2023 21:30,10/10/2023 5:00,10/10/2023 5:15,10/14/2023 0:00,Haugesund -  NORWAY,,,,300,https://portal.seisintel.com/resources/reports/23GB_02753_v0.1A_comp20231014_0000.pdf,https://portal.seisintel.com/resources/reports/23GB_02753_v0.1C_comp20231014_0000.pdf,https://portal.seisintel.com/resources/tides/23GB_02753_TIDEOUTPUT_57.0063_2.1710_20230907-20231030_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23GB_02753_Z500_D10_20230913_1200.mp4,114,Inferred from AIS,253,Inferred from AIS,74,91,57.0065,2.172,"https://portal.seisintel.com/#/path/23GB_02753,23GB_02754"
22BR_02520,22BR_02519,Itapu 3D OBN,OBN,Node Layout,PXGEO,PXGEO,Subsea Viking,Petrobras,Brazil,Yes,Rio de Janeiro -  BRAZIL,10/5/2022 0:00,10/23/2022 8:00,10/23/2022 12:00,1/23/2023 21:30,1/24/2023 3:00,1/26/2023 0:00,Niteroi -  BRAZIL,,,,750,https://portal.seisintel.com/resources/reports/22BR_02520_v0.1A_comp20230126_0000.pdf,https://portal.seisintel.com/resources/reports/22BR_02519_v0.1C_comp20230126_0000.pdf,https://portal.seisintel.com/resources/tides/22BR_02520_TIDEOUTPUT_-24.7761_-42.7062_20221016-20230211_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_22BR_02520_Z500_D10_20230118_1200.mp4,433,Inferred from AIS,841,Inferred from AIS,,,-24.765,-42.7065,"https://portal.seisintel.com/#/path/22BR_02519,22BR_02520"
22BR_02519,22BR_02519,Itapu 3D OBN,OBN,Source,PXGEO,PXGEO,Artemis Odyssey,Petrobras,Brazil,Yes,Rio de Janeiro -  BRAZIL,10/5/2022 0:00,10/22/2022 23:30,10/23/2022 17:00,1/19/2023 1:30,1/19/2023 4:30,1/23/2023 0:00,Rio de Janeiro -  BRAZIL,,,,150,https://portal.seisintel.com/resources/reports/22BR_02519_v0.1A_comp20230123_0000.pdf,https://portal.seisintel.com/resources/reports/22BR_02519_v0.1C_comp20230126_0000.pdf,https://portal.seisintel.com/resources/tides/22BR_02519_TIDEOUTPUT_-24.7754_-42.7064_20221015-20230202_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_22BR_02519_Z500_D10_20221122_1200.mp4,433,Inferred from AIS,841,Inferred from AIS,1650,2050,-24.773,-42.7075,"https://portal.seisintel.com/#/path/22BR_02519,22BR_02520"
14GB_00756,14GB_00735,J-Block (CP14200) 3D OBN,OBN,Source,Fairfield,Fairfield,Geowave Commander,ConocoPhillips Skandinavia AS,United Kingdom,Yes,Aberdeen -  UNITED KINGDOM,10/29/2014 0:00,11/1/2014 0:00,11/1/2014 6:00,2/19/2015 6:00,2/19/2015 12:00,2/20/2015 0:00,Leith -  UNITED KINGDOM,,,,,,,https://portal.seisintel.com/resources/tides/14GB_00756_TIDEOUTPUT_56.7082_2.3918_20141025-20150305.zip,,261,Inferred from AIS,,,,,56.708,2.3895,"https://portal.seisintel.com/#/path/14GB_00735,14GB_00756"
