Survey Id,Parent Id,Survey Name,Type,Activity,Company,Survey Company,Vessel,Client,Country,Complete,Mobilisation Location,Mobilisation Start,Deployment Start,Production Start,Production End,Retrieval End,Demobilisation End,Demobilisation Location,Number of Streamers,Streamer Separation,Streamer Length,Sail Line Separation,Report,Combo Report,Tides,Ocean Current,FFSQKM,FFSQKM Method,Shot Patch SQKM,Shotpatch Method,FF Minimum Water Depth (m),FF Maximum Water Depth (m),CentreLAT,CentreLONG,Replay
15GB_00432,,13/22A Captain OBN,OBN,,Magseis,Magseis,Artemis Athene,Chevron,United Kingdom,Yes,Peterhead -  UNITED KINGDOM,4/1/2015 0:00,4/3/2015 2:00,4/3/2015 12:00,8/18/2015 8:45,8/18/2015 12:00,8/19/2015 12:00,Aberdeen -  UNITED KINGDOM,,,,50,https://portal.seisintel.com/resources/reports/15GB_00432_v0.1A_comp20150819_2200.pdf,,https://portal.seisintel.com/resources/tides/15GB_00432_TIDEOUTPUT_58.3012_-1.7072_20150327-20150901_TPXO.zip,,89,Inferred from AIS,,,87,120,58.3015,-1.7095,
21GB_02260,,34/20 35/16 Autonomous Node Test OBN,OBN,Autonomous Node,Blue Ocean Seismic Services,Blue Ocean Seismic Services,Ocean Marlin,Blue Ocean Seismic Services,United Kingdom,Yes,Blyth -  UNITED KINGDOM,9/12/2021 12:00,9/14/2021 2:30,9/14/2021 3:00,9/18/2021 11:00,9/18/2021 16:00,9/20/2021 12:00,Blyth -  UNITED KINGDOM,,,,2500,https://portal.seisintel.com/resources/reports/21GB_02260_v0.1A_comp20210920_1200.pdf,,,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_21GB_02260_Z500_D10_20210920_1200.mp4,,,,,,,55.4345,-0.9605,
14NO_00733,14NO_00733,3D (ST14200) OBN,OBN,Node Layout,Fairfield,Fairfield,Ocean Pearl,Statoil Petroleum AS,Norway,Yes,Stavanger -  NORWAY,7/30/2014 0:00,7/31/2014 6:00,7/31/2014 8:00,9/8/2014 12:00,9/8/2014 18:00,9/11/2014 0:00,Stavanger -  NORWAY,,,,200,,,https://portal.seisintel.com/resources/tides/14NO_00733_TIDEOUTPUT_58.8161_2.5656_20140724-20140922.zip,,55,Inferred from AIS,148,Published Coordinates,117,118,58.8165,2.565,"https://portal.seisintel.com/#/path/14NO_00733,14NO_00754"
14NO_00754,14NO_00733,3D (ST14200) OBN,OBN,Source,Fairfield,Fairfield,Geowave Commander,Statoil Petroleum AS,Norway,Yes,Stavanger -  NORWAY,7/30/2014 0:00,7/31/2014 12:00,8/2/2014 6:00,9/7/2014 6:00,9/7/2014 9:00,9/9/2014 0:00,Stavanger -  NORWAY,,,,,,,https://portal.seisintel.com/resources/tides/14NO_00754_TIDEOUTPUT_58.8157_2.5663_20140724-20140921.zip,,55,Inferred from AIS,148,Published Coordinates,,,58.8155,2.566,"https://portal.seisintel.com/#/path/14NO_00733,14NO_00754"
21NO_02045,21NO_02044,ABP21200 Valhall 4D OBN,OBN,Source,Magseis Fairfield,Magseis Fairfield,Sanco Star,Aker BP ASA,Norway,Yes,Alesund -  NORWAY,3/22/2021 0:00,3/27/2021 1:30,3/29/2021 23:00,4/17/2021 22:30,4/18/2021 1:30,4/22/2021 0:00,Stavanger -  NORWAY,,,,100,https://portal.seisintel.com/resources/reports/21NO_02045_v0.1A_comp20210422_0000.pdf,https://portal.seisintel.com/resources/reports/21NO_02044_v0.1C_comp20210422_0000.pdf,https://portal.seisintel.com/resources/tides/21NO_02045_TIDEOUTPUT_56.2642_3.3968_20210320-20210502_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_21NO_02045_Z500_D10_20210416_1200.mp4,71,Inferred from AIS,,,,,56.2635,3.3945,"https://portal.seisintel.com/#/path/21NO_02044,21NO_02045"
21NO_02044,21NO_02044,ABP21200 Valhall 4D OBN,OBN,Node Layout,Magseis Fairfield,Magseis Fairfield,Normand Tonjer,Aker BP ASA,Norway,Yes,Alesund -  NORWAY,3/22/2021 0:00,3/26/2021 20:00,3/28/2021 20:30,4/19/2021 21:30,4/19/2021 22:00,4/22/2021 0:00,Stavanger -  NORWAY,,,,300,https://portal.seisintel.com/resources/reports/21NO_02044_v0.1A_comp20210422_0000.pdf,https://portal.seisintel.com/resources/reports/21NO_02044_v0.1C_comp20210422_0000.pdf,https://portal.seisintel.com/resources/tides/21NO_02044_TIDEOUTPUT_56.2566_3.4049_20210319-20210503_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_21NO_02044_Z500_D10_20210416_1200.mp4,71,Inferred from AIS,,,71,73,56.255,3.403,"https://portal.seisintel.com/#/path/21NO_02044,21NO_02045"
23NO_02599,23NO_02599,ABP23200 Ivar Aasen 4D OBN,OBN,Source,Magseis Fairfield,Magseis Fairfield,Oceanic Champion,Aker BP ASA,Norway,Yes,Haugesund -  NORWAY,3/21/2023 0:00,3/31/2023 18:00,4/2/2023 10:30,4/18/2023 14:30,4/18/2023 16:00,4/21/2023 0:00,Aberdeen -  UNITED KINGDOM,,,,300,https://portal.seisintel.com/resources/reports/23NO_02599_v0.1A_comp20230421_0000.pdf,https://portal.seisintel.com/resources/reports/23NO_02599_v0.1C_comp20230426_0000.pdf,,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23NO_02599_Z500_D10_20230413_1200.mp4,78,Inferred from AIS,237,Inferred from AIS,110,116,58.919,2.209,"https://portal.seisintel.com/#/path/23NO_02599,23NO_02600"
23NO_02600,23NO_02599,ABP23200 Ivar Aasen 4D OBN,OBN,Node Layout,Magseis Fairfield,Magseis Fairfield,Normand Tonjer,Aker BP ASA,Norway,Yes,Husoy -  NORWAY,3/21/2023 0:00,3/30/2023 18:00,3/30/2023 19:00,4/23/2023 20:00,4/23/2023 20:15,4/26/2023 0:00,Aberdeen -  UNITED KINGDOM,,,,300,https://portal.seisintel.com/resources/reports/23NO_02600_v0.1A_comp20230426_0000.pdf,https://portal.seisintel.com/resources/reports/23NO_02599_v0.1C_comp20230426_0000.pdf,https://portal.seisintel.com/resources/tides/23NO_02600_TIDEOUTPUT_58.9123_2.2067_20230323-20230509_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23NO_02600_Z500_D10_20230423_1200.mp4,78,Inferred from AIS,237,Inferred from AIS,,,58.918,2.21,"https://portal.seisintel.com/#/path/23NO_02599,23NO_02600"
23NO_02717,23NO_02716,ABP23201 Valhall / Hod 4D OBN,OBN,Source,Magseis Fairfield,Magseis Fairfield,Oceanic Champion,Aker BP ASA,Norway,Yes,Tananger -  NORWAY,7/22/2023 0:00,7/27/2023 14:30,7/29/2023 7:30,9/3/2023 12:00,9/3/2023 18:00,9/6/2023 0:00,Stavanger -  NORWAY,,,,100,https://portal.seisintel.com/resources/reports/23NO_02717_v0.1A_comp20230906_0000.pdf,https://portal.seisintel.com/resources/reports/23NO_02716_v0.1C_comp20230911_0000.pdf,https://portal.seisintel.com/resources/tides/23NO_02717_TIDEOUTPUT_56.2330_3.4174_20230720-20230917_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23NO_02717_Z500_D10_20230903_1200.mp4,128,Inferred from AIS,294,Inferred from AIS,,,56.252,3.414,"https://portal.seisintel.com/#/path/23NO_02716,23NO_02717"
23NO_02716,23NO_02716,ABP23201 Valhall / Hod 4D OBN,OBN,Node Layout,Magseis Fairfield,Magseis Fairfield,Normand Tonjer,Aker BP ASA,Norway,Yes,Stavanger -  NORWAY,7/24/2023 0:00,7/27/2023 10:30,7/29/2023 0:00,9/7/2023 2:30,9/7/2023 3:00,9/11/2023 0:00,Aberdeen -  UNITED KINGDOM,,,,300,https://portal.seisintel.com/resources/reports/23NO_02716_v0.1A_comp20230911_0000.pdf,https://portal.seisintel.com/resources/reports/23NO_02716_v0.1C_comp20230911_0000.pdf,https://portal.seisintel.com/resources/tides/23NO_02716_TIDEOUTPUT_56.2296_3.4151_20230720-20230921_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_23NO_02716_Z500_D10_20230907_1200.mp4,128,Inferred from AIS,294,Inferred from AIS,70,72,56.2495,3.4145,"https://portal.seisintel.com/#/path/23NO_02716,23NO_02717"
23NO_02745,,ABP23203 Edvard Grieg 4D OBN,OBN,Node Layout / Source,Shearwater,Shearwater,SW Tasman,Aker BP ASA,Norway,Yes,Bergen -  NORWAY,8/27/2023 0:00,9/4/2023 18:00,9/4/2023 21:30,9/16/2023 23:30,9/17/2023 0:00,9/19/2023 0:00,Bergen -  NORWAY,,,,,,,https://portal.seisintel.com/resources/tides/23NO_02745_TIDEOUTPUT_58.8426_2.2575_20230828-20231001_TPXO_inpr.zip,,3,Inferred from AIS,30,Inferred from AIS,110,111,58.843,2.2575,
24NO_02886,24NO_02878,ABP24200 Edvard Grieg 4D / ABP24201 OBN,OBN,Source,PXGEO,PXGEO,Artemis Arctic,Aker BP ASA,Norway,Yes,Great Yarmouth -  UNITED KINGDOM,4/2/2024 12:00,4/9/2024 23:00,4/11/2024 15:40,5/19/2024 2:30,5/19/2024 10:30,5/21/2024 0:00,Mekjarvik -  NORWAY,,,,150,https://portal.seisintel.com/resources/reports/24NO_02886_v0.1A_comp20240521_0000.pdf,https://portal.seisintel.com/resources/reports/24NO_02878_v0.1C_comp20240521_0000.pdf,https://portal.seisintel.com/resources/tides/24NO_02886_TIDEOUTPUT_58.8334_2.2707_20240402-20240602_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_24NO_02886_Z500_D10_20240519_1200_inpr.mp4,85,Inferred from AIS,223,Inferred from AIS,,,58.833,2.27,"https://portal.seisintel.com/#/path/24NO_02878,24NO_02886"
24NO_02878,24NO_02878,ABP24200 Edvard Grieg 4D / ABP24201 OBN,OBN,Node Layout,PXGEO,PXGEO,Siem Spearfish,Aker BP ASA,Norway,Yes,Stavanger -  NORWAY,3/30/2024 12:00,3/31/2024 6:30,4/7/2024 5:00,5/19/2024 12:00,5/19/2024 16:00,5/21/2024 0:00,Langevag -  NORWAY,,,,1800,https://portal.seisintel.com/resources/reports/24NO_02878_v0.1A_comp20240521_0000.pdf,https://portal.seisintel.com/resources/reports/24NO_02878_v0.1C_comp20240521_0000.pdf,https://portal.seisintel.com/resources/tides/24NO_02878_TIDEOUTPUT_58.8394_2.2408_20240324-20240602_TPXO_inpr.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_24NO_02878_Z500_D10_20240519_1200_inpr.mp4,85,Inferred from AIS,223,Inferred from AIS,110,115,58.837,2.2735,"https://portal.seisintel.com/#/path/24NO_02878,24NO_02886"
24AZ_02837,24AZ_02836,ACG M1 4D OBN,OBN,Source,Caspian Geo LLC,Caspian Geo LLC,Murovdag,BP,Azerbaijan,In Progress,Baku -  AZERBAIJAN,1/4/2024 0:00,1/23/2024 18:00,1/24/2024 0:00,,,,,,,,,,,https://portal.seisintel.com/resources/tides/24AZ_02837_TIDEOUTPUT_40.0715_51.2812_20240116-20240614_TPXO_inpr.zip,,,,,,,,40.0765,51.2635,"https://portal.seisintel.com/#/path/24AZ_02836,24AZ_02837"
24AZ_02836,24AZ_02836,ACG M1 4D OBN,OBN,Node Layout,Caspian Geo LLC,Caspian Geo LLC,Guba,BP,Azerbaijan,In Progress,Baku -  AZERBAIJAN,1/4/2024 0:00,1/19/2024 19:00,1/19/2024 20:00,,,,,,,,,,,https://portal.seisintel.com/resources/tides/24AZ_02836_TIDEOUTPUT_40.0647_51.2947_20240112-20240614_TPXO_inpr.zip,,,,,,,,40.0665,51.297,"https://portal.seisintel.com/#/path/24AZ_02836,24AZ_02837"
19AE_01445,19AE_01444,ADNOC Offshore Phase 01 OBN,OBN,Node Layout,BGP,BGP,BGP Glory,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,Abu Zaby -  UNITED ARAB EMIRATES,1/14/2019 0:00,1/15/2019 3:00,1/15/2019 7:00,3/31/2020 5:30,3/31/2020 5:45,3/31/2020 6:00,At Sea -  UNITED ARAB EMIRATES,,,,300,https://portal.seisintel.com/resources/reports/19AE_01445_v0.1A_comp20200331_0600.pdf,https://portal.seisintel.com/resources/reports/19AE_01444_v0.1C_comp20200331_0600.pdf,https://portal.seisintel.com/resources/tides/19AE_01445_TIDEOUTPUT_24.5257_52.3585_20190108-20200414_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19AE_01445_Z500_D10_20200305_1200.mp4,3403,Inferred from AIS,,,,,24.542,52.32,"https://portal.seisintel.com/#/path/19AE_01444,19AE_01445,19AE_01451,19AE_01468,19AE_01688,19AE_01793"
19AE_01793,19AE_01444,ADNOC Offshore Phase 01 OBN,OBN,Source,BGP,BGP,BGP Explorer,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,At Sea -  UNITED ARAB EMIRATES,10/24/2019 0:00,10/24/2019 8:30,10/24/2019 13:45,3/17/2020 2:30,3/17/2020 3:30,3/17/2020 6:00,At Sea -  UNITED ARAB EMIRATES,,,,100,https://portal.seisintel.com/resources/reports/19AE_01793_v0.1A_comp20200317_0600.pdf,https://portal.seisintel.com/resources/reports/19AE_01444_v0.1C_comp20200331_0600.pdf,https://portal.seisintel.com/resources/tides/19AE_01793_TIDEOUTPUT_24.6388_52.4584_20191017-20200331_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19AE_01793_Z500_D0_20200305_1200.mp4,3403,Inferred from AIS,,,,,24.551,52.3865,"https://portal.seisintel.com/#/path/19AE_01444,19AE_01445,19AE_01451,19AE_01468,19AE_01688,19AE_01793"
19AE_01444,19AE_01444,ADNOC Offshore Phase 01 OBN,OBN,Source,BGP,BGP,BGP Explorer,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,Abu Zaby -  UNITED ARAB EMIRATES,1/1/2019 0:00,1/19/2019 7:00,1/20/2019 17:15,10/23/2019 14:45,10/23/2019 17:00,10/24/2019 0:00,At Sea -  UNITED ARAB EMIRATES,,,,100,https://portal.seisintel.com/resources/reports/19AE_01444_v0.1A_comp20191024_0000.pdf,https://portal.seisintel.com/resources/reports/19AE_01444_v0.1C_comp20200331_0600.pdf,https://portal.seisintel.com/resources/tides/19AE_01444_TIDEOUTPUT_24.4775_52.2952_20190112-20191106_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19AE_01444_Z500_D10_20191002_1200.mp4,3403,Inferred from AIS,,,,,24.5395,52.3125,"https://portal.seisintel.com/#/path/19AE_01444,19AE_01445,19AE_01451,19AE_01468,19AE_01688,19AE_01793"
19AE_01688,19AE_01444,ADNOC Offshore Phase 01 OBN,OBN,Node Layout,BGP,BGP,BGP Commander,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,Dubai -  UNITED ARAB EMIRATES,3/20/2019 0:00,3/30/2019 12:00,3/30/2019 12:00,3/17/2020 1:15,3/17/2020 7:00,3/18/2020 0:00,At Sea -  UNITED ARAB EMIRATES,,,,600,https://portal.seisintel.com/resources/reports/19AE_01688_v0.1A_comp20200318_0000.pdf,https://portal.seisintel.com/resources/reports/19AE_01444_v0.1C_comp20200331_0600.pdf,https://portal.seisintel.com/resources/tides/19AE_01688_TIDEOUTPUT_24.5224_52.3726_20190323-20200331_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19AE_01688_Z500_D0_20200305_1200.mp4,3403,Inferred from AIS,,,,,24.545,52.324,"https://portal.seisintel.com/#/path/19AE_01444,19AE_01445,19AE_01451,19AE_01468,19AE_01688,19AE_01793"
19AE_01451,19AE_01444,ADNOC Offshore Phase 01 OBN,OBN,Source,BGP,BGP,Hai Bao Wu Hao,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,Abu Zaby -  UNITED ARAB EMIRATES,1/10/2019 0:00,1/14/2019 3:00,1/14/2019 3:30,3/17/2020 2:30,3/17/2020 3:30,3/28/2020 0:00,At Sea -  UNITED ARAB EMIRATES,,,,50,https://portal.seisintel.com/resources/reports/19AE_01451_v0.1A_comp20200328_0000.pdf,https://portal.seisintel.com/resources/reports/19AE_01444_v0.1C_comp20200331_0600.pdf,https://portal.seisintel.com/resources/tides/19AE_01451_TIDEOUTPUT_24.5134_52.3441_20190107-20200331_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19AE_01451_Z500_D10_20200305_1200.mp4,3403,Inferred from AIS,,,,,24.5385,52.3275,"https://portal.seisintel.com/#/path/19AE_01444,19AE_01445,19AE_01451,19AE_01468,19AE_01688,19AE_01793"
19AE_01468,19AE_01444,ADNOC Offshore Phase 01 OBN,OBN,Source,BGP,BGP,BGP Challenger,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,Abu Zaby -  UNITED ARAB EMIRATES,2/2/2019 0:00,2/7/2019 20:30,2/8/2019 18:00,3/4/2020 13:45,3/4/2020 15:15,3/4/2020 18:00,At Sea -  UNITED ARAB EMIRATES,,,,100,https://portal.seisintel.com/resources/reports/19AE_01468_v0.1A_comp20200304_1800.pdf,https://portal.seisintel.com/resources/reports/19AE_01444_v0.1C_comp20200331_0600.pdf,https://portal.seisintel.com/resources/tides/19AE_01468_TIDEOUTPUT_24.4981_52.3322_20190131-20200318_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19AE_01468_Z500_D0_20200302_1200.mp4,3403,Inferred from AIS,,,,,24.545,52.355,"https://portal.seisintel.com/#/path/19AE_01444,19AE_01445,19AE_01451,19AE_01468,19AE_01688,19AE_01793"
20AE_01857,20AE_01857,ADNOC Offshore Phase 02 OBN,OBN,Node Layout,BGP,BGP,BGP Commander,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,At Sea -  UNITED ARAB EMIRATES,3/18/2020 0:00,3/18/2020 13:00,3/18/2020 15:00,8/2/2020 8:30,8/2/2020 9:00,8/2/2020 18:00,At Sea -  UNITED ARAB EMIRATES,,,,300,https://portal.seisintel.com/resources/reports/20AE_01857_v0.1A_comp20200802_1800.pdf,https://portal.seisintel.com/resources/reports/20AE_01857_v0.1C_comp20200805_1200.pdf,https://portal.seisintel.com/resources/tides/20AE_01857_TIDEOUTPUT_24.7758_52.6945_20200311-20200816_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_20AE_01857_Z500_D0_20200319_1200.mp4,1125,Inferred from AIS,,,,,24.805,52.682,"https://portal.seisintel.com/#/path/20AE_01857,20AE_01858,20AE_01859,20AE_01930,20AE_01931"
20AE_01859,20AE_01857,ADNOC Offshore Phase 02 OBN,OBN,Node Layout,BGP,BGP,BGP Glory,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,At Sea -  UNITED ARAB EMIRATES,3/31/2020 6:00,3/31/2020 7:45,3/31/2020 8:00,8/2/2020 8:30,8/2/2020 9:00,8/2/2020 18:00,At Sea -  UNITED ARAB EMIRATES,,,,300,https://portal.seisintel.com/resources/reports/20AE_01859_v0.1A_comp20200802_1800.pdf,https://portal.seisintel.com/resources/reports/20AE_01857_v0.1C_comp20200805_1200.pdf,https://portal.seisintel.com/resources/tides/20AE_01859_TIDEOUTPUT_24.7683_52.6346_20200324-20200816_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_20AE_01859_Z500_D0_20200603_1200.mp4,1125,Inferred from AIS,,,,,24.8085,52.6265,"https://portal.seisintel.com/#/path/20AE_01857,20AE_01858,20AE_01859,20AE_01930,20AE_01931"
20AE_01858,20AE_01857,ADNOC Offshore Phase 02 OBN,OBN,Source,BGP,BGP,Hai Bao Wu Hao,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,At Sea -  UNITED ARAB EMIRATES,3/28/2020 0:00,3/31/2020 9:30,3/31/2020 11:30,7/22/2020 9:15,7/22/2020 11:15,7/24/2020 6:00,Abu Zaby -  UNITED ARAB EMIRATES,,,,50,https://portal.seisintel.com/resources/reports/20AE_01858_v0.1A_comp20200724_0600.pdf,https://portal.seisintel.com/resources/reports/20AE_01857_v0.1C_comp20200805_1200.pdf,https://portal.seisintel.com/resources/tides/20AE_01858_TIDEOUTPUT_24.7349_52.6397_20200324-20200805_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_20AE_01858_Z500_D0_20200716_1200.mp4,1125,Inferred from AIS,,,,,24.8045,52.635,"https://portal.seisintel.com/#/path/20AE_01857,20AE_01858,20AE_01859,20AE_01930,20AE_01931"
20AE_01930,20AE_01857,ADNOC Offshore Phase 02 OBN,OBN,Source,BGP,BGP,BGP Challenger,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,At Sea -  UNITED ARAB EMIRATES,3/31/2020 0:00,3/31/2020 6:00,3/31/2020 11:15,8/3/2020 7:30,,8/3/2020 12:00,At Sea -  UNITED ARAB EMIRATES,,,,100,https://portal.seisintel.com/resources/reports/20AE_01930_v0.1A_comp20200830_1200.pdf,https://portal.seisintel.com/resources/reports/20AE_01857_v0.1C_comp20200805_1200.pdf,,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_20AE_01930_Z500_D0_20200803_1200.mp4,1125,Inferred from AIS,,,,,24.8175,52.6735,"https://portal.seisintel.com/#/path/20AE_01857,20AE_01858,20AE_01859,20AE_01930,20AE_01931"
20AE_01931,20AE_01857,ADNOC Offshore Phase 02 OBN,OBN,Source,BGP,BGP,BGP Explorer,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,At Sea -  UNITED ARAB EMIRATES,4/6/2020 6:00,4/6/2020 8:30,4/6/2020 11:00,8/4/2020 9:00,8/5/2020 10:30,8/5/2020 12:00,At Sea -  UNITED ARAB EMIRATES,,,,100,https://portal.seisintel.com/resources/reports/20AE_01931_v0.1A_comp20200805_1200.pdf,https://portal.seisintel.com/resources/reports/20AE_01857_v0.1C_comp20200805_1200.pdf,,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_20AE_01931_Z500_D0_20200805_1200.mp4,1125,Inferred from AIS,,,,,24.805,52.6635,"https://portal.seisintel.com/#/path/20AE_01857,20AE_01858,20AE_01859,20AE_01930,20AE_01931"
19AE_01929,19AE_01586,ADNOC Offshore Phase 03 OBN,OBN,Node Layout,BGP,BGP,Athba,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,Abu Zaby -  UNITED ARAB EMIRATES,9/9/2019 0:00,9/10/2019 4:25,9/10/2019 6:00,5/16/2020 7:45,5/16/2020 8:30,5/16/2020 12:00,At Sea -  UNITED ARAB EMIRATES,,,,300,https://portal.seisintel.com/resources/reports/19AE_01929_v0.1A_comp20200516_1200.pdf,https://portal.seisintel.com/resources/reports/19AE_01586_v0.1C_comp20200523_0900.pdf,,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19AE_01929_Z500_D10_20200516_1200.mp4,1739,Inferred from AIS,,,,,25.11,52.844,"https://portal.seisintel.com/#/path/19AE_01586,19AE_01587,19AE_01612,19AE_01665,20AE_01813,20AE_01814,19AE_01929"
20AE_01813,19AE_01586,ADNOC Offshore Phase 03 OBN,OBN,Source,BGP,BGP,BGP Explorer,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,At Sea -  UNITED ARAB EMIRATES,3/17/2020 6:00,3/17/2020 9:00,3/17/2020 12:15,4/6/2020 2:45,4/6/2020 4:30,4/6/2020 6:00,At Sea -  UNITED ARAB EMIRATES,,,,100,https://portal.seisintel.com/resources/reports/20AE_01813_v0.1A_comp20200406_0600.pdf,https://portal.seisintel.com/resources/reports/19AE_01586_v0.1C_comp20200523_0900.pdf,https://portal.seisintel.com/resources/tides/20AE_01813_TIDEOUTPUT_24.9449_52.8279_20200310-20200420_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_20AE_01813_Z500_D0_20200317_1200.mp4,1739,Inferred from AIS,,,,,25.099,52.828,"https://portal.seisintel.com/#/path/19AE_01586,19AE_01587,19AE_01612,19AE_01665,20AE_01813,20AE_01814,19AE_01929"
20AE_01814,19AE_01586,ADNOC Offshore Phase 03 OBN,OBN,Source,BGP,BGP,BGP Challenger,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,At Sea -  UNITED ARAB EMIRATES,3/4/2020 18:00,3/5/2020 3:45,3/5/2020 4:00,3/30/2020 18:00,3/30/2020 20:00,3/31/2020 0:00,At Sea -  UNITED ARAB EMIRATES,,,,100,https://portal.seisintel.com/resources/reports/20AE_01814_v0.1A_comp20200331_0000.pdf,https://portal.seisintel.com/resources/reports/19AE_01586_v0.1C_comp20200523_0900.pdf,https://portal.seisintel.com/resources/tides/20AE_01814_TIDEOUTPUT_24.8388_52.8450_20200227-20200413_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_20AE_01814_Z500_D0_20200328_1200.mp4,1739,Inferred from AIS,,,,,25.083,52.8445,"https://portal.seisintel.com/#/path/19AE_01586,19AE_01587,19AE_01612,19AE_01665,20AE_01813,20AE_01814,19AE_01929"
19AE_01586,19AE_01586,ADNOC Offshore Phase 03 OBN,OBN,Source,BGP,BGP,Dong Fang Kan Tan No. 1,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,Abu Zaby -  UNITED ARAB EMIRATES,7/5/2019 0:00,7/13/2019 4:00,7/13/2019 20:00,5/23/2020 5:45,,5/23/2020 9:00,At Sea -  UNITED ARAB EMIRATES,,,,100,https://portal.seisintel.com/resources/reports/19AE_01586_v0.1A_comp20200523_0900.pdf,https://portal.seisintel.com/resources/reports/19AE_01586_v0.1C_comp20200523_0900.pdf,https://portal.seisintel.com/resources/tides/19AE_01586_TIDEOUTPUT_25.0079_52.8429_20190706-20200606_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19AE_01586_Z500_D0_20200416_1200.mp4,1739,Inferred from AIS,,,,,25.0855,52.7955,"https://portal.seisintel.com/#/path/19AE_01586,19AE_01587,19AE_01612,19AE_01665,20AE_01813,20AE_01814,19AE_01929"
19AE_01587,19AE_01586,ADNOC Offshore Phase 03 OBN,OBN,Node Layout,BGP,BGP,Stanford Bateleur,Abu Dhabi National Oil Company (ADNOC),United Arab Emirates,Yes,Dubai -  UNITED ARAB EMIRATES,7/6/2019 0:00,7/10/2019 1:40,7/10/2019 1:45,5/17/2020 10:15,5/17/2020 10:30,5/17/2020 12:00,At Sea -  UNITED ARAB EMIRATES,,,,300,https://portal.seisintel.com/resources/reports/19AE_01587_v0.1A_comp20200517_1200.pdf,https://portal.seisintel.com/resources/reports/19AE_01586_v0.1C_comp20200523_0900.pdf,https://portal.seisintel.com/resources/tides/19AE_01587_TIDEOUTPUT_25.0006_52.8237_20190703-20200531_TPXO.zip,https://portal.seisintel.com/resources/video/hycom_current//HYCOM_19AE_01587_Z500_D0_20200429_1200.mp4,1739,Inferred from AIS,,,,,25.083,52.7785,"https://portal.seisintel.com/#/path/19AE_01586,19AE_01587,19AE_01612,19AE_01665,20AE_01813,20AE_01814,19AE_01929"
